0, 92
1, 4
2, 10
3, 165
4, 12
5, 21
6, 25
7, 2
8, 9
9, 92
10, 5
11, 4
12, 3
13, 5
14, 6
15, 5
16, 8
17, 2406
18, 3
19, 4
20, 5
21, 4
22, 8
23, 4
24, 8
25, 21
26, 5
27, 4
28, 4
29, 4
30, 21
31, 4
32, 3
33, 4
34, 35
35, 4
36, 4
37, 953
38, 4
39, 5
40, 18
41, 9
42, 4
43, 484
44, 53
45, 4
46, 4
47, 5
48, 6
49, 66
50, 5
51, 5
52, 39
53, 6
54, 4
55, 3
56, 10
57, 37
58, 219
59, 4
60, 4
61, 58
62, 6
63, 4
64, 4
65, 34
66, 9
67, 8
68, 7
69, 27
70, 5
71, 5
72, 5
73, 66
74, 2272
75, 7
76, 5
77, 4
78, 47
79, 4
80, 4
81, 22
82, 4
83, 5
84, 38
85, 5
86, 37
87, 5
88, 8
89, 5
90, 160
91, 4
92, 4
93, 9
94, 7
95, 4
96, 3968
97, 4
98, 5
99, 24
100, 5
101, 3
102, 5
103, 5
104, 3
105, 5
106, 13
107, 9826
108, 4
109, 19
110, 28
111, 132
112, 45
113, 35
114, 7
115, 18
116, 33
117, 7
118, 5
119, 229
120, 4
121, 5
122, 3
123, 4
124, 94
125, 4
126, 11
127, 3
128, 4
129, 4
130, 3
131, 7
132, 6
133, 3
134, 4
135, 5
136, 5
137, 23
138, 8
139, 20
140, 4
141, 1126
142, 14
143, 12
144, 4
145, 3
146, 13
147, 4
148, 3
149, 3
150, 28
151, 9
152, 5
153, 6
154, 3
155, 15
156, 15
157, 4
158, 4
159, 4
160, 128
161, 3
162, 32
163, 4
164, 5
165, 9
166, 4
167, 458
168, 4
169, 1068
170, 3
171, 11
172, 18
173, 14
174, 5
175, 110
176, 5
177, 4
178, 33837
179, 5
180, 4
181, 3143
182, 3
183, 5
184, 3
185, 1096
186, 45
187, 5
188, 94
189, 4
190, 6
191, 5
192, 28
193, 93
194, 24
195, 857
196, 4
197, 58
198, 8
199, 13
200, 5
201, 3
202, 188
203, 5
204, 4
205, 4
206, 121
207, 4
208, 24
209, 66
210, 3
211, 16
212, 4
213, 57
214, 4
215, 10
216, 10
217, 8
218, 5
219, 4
220, 3
221, 15
222, 6
223, 5
224, 22
225, 5
226, 108
227, 4
228, 3
229, 4
230, 4
231, 13
232, 6
233, 70
234, 5
235, 23
236, 4
237, 3
238, 5
239, 3
240, 5
241, 6
242, 5
243, 3
244, 4
245, 20
246, 6
247, 4
248, 6
249, 4
250, 4
251, 5
252, 6
253, 4
254, 4
255, 5
256, 3
257, 9
258, 214
259, 11
260, 161
261, 4
262, 17
263, 43
264, 4
265, 6
266, 14
267, 4
268, 5
269, 5
270, 3
271, 2856
272, 1444
273, 4
274, 168
275, 69
276, 107
277, 3
278, 5
279, 3
280, 5
281, 4
282, 7
283, 4
284, 4
285, 5
286, 51
287, 23
288, 5
289, 6
290, 4
291, 4
292, 5
293, 7
294, 4
295, 5
296, 11
297, 3
298, 13
299, 5
300, 4
301, 3
302, 3
303, 5
304, 3
305, 4
306, 4
307, 5
308, 5
309, 82
310, 22
311, 4
312, 5
313, 6
314, 5
315, 5
316, 3
317, 6
318, 23
319, 4
320, 11
321, 5
322, 12
323, 4
324, 6
325, 124
326, 3
327, 2697
328, 6
329, 37
330, 27
331, 16
332, 6
333, 5
334, 3
335, 7
336, 16
337, 4
338, 19
339, 5
